sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKTimeZone,HKIndoorWorkout,HKWasUserEntered
HKWorkoutTypeIdentifier,Nike Run Club,1811021912,"iPhone8,4",,2018-11-11 22:46:46 +0000,2018-11-11 22:58:07 +0000,Running,681.0313889980316,sec,47.58 kcal,916.153 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1811021912,"iPhone8,4",,2018-11-11 22:59:11 +0000,2018-11-11 23:05:00 +0000,Running,344.87070178985596,sec,24.98 kcal,541.983 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1811021912,"iPhone8,4",,2018-11-11 23:05:09 +0000,2018-11-11 23:10:06 +0000,Running,292.6347517967224,sec,20.584 kcal,410.009 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1811021912,"iPhone8,4",,2018-11-18 21:43:30 +0000,2018-11-18 22:44:56 +0000,Running,3679.9689128398895,sec,614.532 kcal,10130.4 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1811021912,"iPhone8,4",,2018-12-02 22:47:19 +0000,2018-12-02 23:15:25 +0000,Running,1201.1334176063538,sec,272.054 kcal,4265.52 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1812110127,"iPhone8,4",,2018-12-16 21:56:55 +0000,2018-12-16 22:41:59 +0000,Running,2703.929358959198,sec,402.597 kcal,6835.18 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1812110127,"iPhone8,4",,2018-12-23 21:34:35 +0000,2018-12-23 22:09:58 +0000,Running,2122.4210810661316,sec,291.485 kcal,5028.25 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1903051933,"iPhone8,4",,2019-01-20 13:15:57 +0000,2019-03-18 01:52:56 +0000,Running,4883818.896493912,sec,38.581 kcal,616.104 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1903051933,"iPhone8,4",,2019-03-24 20:47:45 +0000,2019-03-24 21:26:08 +0000,Running,2299.358537912369,sec,279.212 kcal,5010.98 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1904082108,"iPhone8,4",,2019-04-28 22:00:42 +0000,2019-04-28 22:44:02 +0000,Running,2583.6757781505585,sec,317.495 kcal,5603.9 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1904082108,"iPhone8,4",,2019-06-01 23:03:07 +0000,2019-06-01 23:50:23 +0000,Running,2835.9737071990967,sec,264.103 kcal,4816.92 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1906281758,"iPhone8,4",,2019-07-30 21:27:08 +0000,2019-07-30 21:47:14 +0000,Running,1205.9647438526154,sec,94.633 kcal,1654.45 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1906281758,"iPhone8,4",,2019-08-05 12:10:39 +0000,2019-08-05 12:34:45 +0000,Running,1445.2912108898163,sec,119.036 kcal,2021.32 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,1906281758,"iPhone8,4",,2019-08-06 23:07:39 +0000,2019-08-06 23:42:42 +0000,Running,2102.8799529075623,sec,195.898 kcal,3767.96 m,,,America/New_York,0,0
HKWorkoutTypeIdentifier,Nike Run Club,2008080031,"iPhone8,4",,2020-08-19 00:03:23 +0000,2020-08-19 00:03:49 +0000,Running,22.78500008583069,sec,0.784 kcal,16.77 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2008080031,"iPhone8,4",,2020-08-19 00:16:39 +0000,2020-08-19 00:54:17 +0000,Running,1544.5629999637604,sec,186.555 kcal,3221.42 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2008080031,"iPhone8,4",,2020-08-21 00:53:08 +0000,2020-08-21 01:29:12 +0000,Running,2161.367000102997,sec,172.838 kcal,3224.42 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2008080031,"iPhone8,4",,2020-08-25 23:39:39 +0000,2020-08-26 00:08:40 +0000,Running,1493.9519996643066,sec,184.546 kcal,3223.07 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2008080031,"iPhone8,4",,2020-08-27 23:29:04 +0000,2020-08-27 23:58:18 +0000,Running,1749.9849998950958,sec,172.215 kcal,3220.9 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2008080031,"iPhone8,4",,2020-09-01 23:51:55 +0000,2020-09-02 00:27:03 +0000,Running,1677.1169996261597,sec,180.039 kcal,3243.78 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2008080031,"iPhone8,4",,2020-09-04 00:02:21 +0000,2020-09-04 00:34:10 +0000,Running,1903.4740002155304,sec,165.169 kcal,3221.39 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2008080031,"iPhone8,4",,2020-09-08 23:37:32 +0000,2020-09-09 00:05:32 +0000,Running,1662.4799995422363,sec,170.938 kcal,3233.39 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2008080031,"iPhone8,4",,2020-09-10 23:37:20 +0000,2020-09-11 00:04:55 +0000,Running,1652.805999994278,sec,174.886 kcal,3220.82 m,,,,0,
